ÀREA DO ANTIGO AEROPORTO
EMEB PRINCESA ISABEL-TERRENO MATRÍCULA 5987;28/01/1980;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;TERRENO MATRÍCULA 5987 IMÓVEL- UM TERRENO SITUADO NESTA CIDADE, NA RUA ARNALDO BALVE DE FORMATO IRREGULAR, COM A ÁREA DE 1804 METROS QUADRADOS (1804 MQ), COM AS SEGUINTES MEDIDAS E CONFRONTAÇÕES: AO NORTE , ONDE MEDE MEDE  QUARENTA E SETE METROS E VINTE CENTIMETROS (47M20CM) , COM IMÓVEL PERTENCENTE A PREFEITURA MUNICIPAL DE ALEGRETE; AO SUL, MEDINDO QUARENTA E UM METROS E NOVENTA CENTIMETROS (41M90CM) FAZ FRENTE A DITA RUA ARNALDO BALVE; AO LESTE, ONDE MEDE CINQUENTA METROS E SESSENTA CENTIMETROS |(15M60CM ) ONDE SE CONFRONTA COM DERLÍ TRINDADE ROMERO E, AO OESTE, ONDE MEDE TRINTA E QUATRO METROS E QUARENTA CENTIMETROS (34M40CM), CONFRONTA, COM MOACIR DA ROSA FAGUNDES.
EMEI PALMIRA PALMA DE OLIVEIRA MATRÍCULA Nº 11.387;15/03/1984;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;Um prédio de alvenaria, situado nesta cidade, na rua Carlos Gomes, designado pelo número trezentos e noventa e um,  no Bairro vila Nova, composto de cinco(5) peças e o respectivo terreno, medindo treze metros e vinte centímetros(13m20) de frente, por vinte metros(20m) de frente a fundos, confrontando, ao norte, com silvestre de tal; a leste, com a rua Carlos Gomes; e ao sul e oeste, com Anália Agne Gorski, conforme Escritura Pública de Desaproriação Amigável nº 8504/016.
ESCOLA HONÓRIO LEMES;11/11/1111;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;c/planta c/certidão nº6.252
ESCOLA MUNICIPAL MARCELO FARACO;11/11/1111;CADASTRO DE IMÓVEIS URBANOS-PATRIMÔNIO;c/planta c/certidão nº16.909
15 imóveis(s) na divisão ESCOLAS URBANAS

GUASSU-BOI-7º SUBDISTRITO
BARCELOS(GUASSU-BOI);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL BOAVENTURA GOMES(SILVESTRE);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL COMENDADOR CHAVES;11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL EXPEDICIONÁRIO CANNES(SILVESTRE);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL GETÚLIO VARGAS(3 CAPOES);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL JOANA NORONHA(GUASSU-BOI);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA RURAL JOSÉ ANTÕNIO SILVA(ITAPORIRÓ);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
ESCOLA SANTA VIRGEM(GUASSU-BOI);11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
8 imóveis(s) na divisão GUASSU-BOI-7º SUBDISTRITO

INHANDUÍ-5º SUBDISTRITO
ESCOLA RURAL LAURINDO RAMOS;11/11/1111;CADASTRO IMÓVEIS RURAIS;desativada
